0,1,2
fads,1,1
fail,2,1
failing,1,1
failure,1,1
faintest,2,2
fair,7,2
fairly,6,2
fairy,1,1
faith,18,3
fake,3,1
fall,9,2
fallen,2,1
falling,2,2
falls,1,1
false,2,1
fame,1,1
familiar,4,3
families,7,4
family,54,11
family's,2,2
famine,1,1
famous,1,1
fan,7,2
fanned,1,1
far,34,4
farm,9,2
farmed,3,1
farmer,4,2
farming,3,1
farms,1,1
farther,1,1
fascinated,1,1
fascinating,7,6
fashion,1,1
fashioned,3,2
fashions,1,1
fast,8,3
faster,1,1
fastest,1,1
fat,5,2
father,25,4
fatherly,4,1
fault,5,3
favor,2,1
favorite,4,3
favoritism,1,1
feast,1,1
feature,1,1
features,2,1
fed,2,2
federal,1,1
federally,1,1
fedex,2,2
feds,1,1
feeble,1,1
feed,6,2
feeding,5,3
feel,72,12
feeling,13,9
feeling's,1,1
feelings,2,2
feels,4,3
feet,10,3
fell,2,1
felt,21,9
female,2,2
femalee,3,1
feminist,1,1
fence,1,1
ferry,4,1
fertilization,1,1
few,16,2
field,12,5
fifteen,27,4
fifteenth,2,1
fifth,10,3
fifties,3,2
fifty,28,3
fight,1,1
fighting,1,1
fights,2,1
figure,25,8
figured,10,9
figures,3,3
figuring,2,2
file,3,3
filed,3,1
filing,4,2
fill,1,1
filled,1,1
fills,1,1
filter,1,1
final,6,4
finally,17,11
finances,5,5
financial,6,5
financially,2,2
find,52,7
finding,4,4
fine,17,3
finger,1,1
fingerprints,1,1
finish,4,2
finished,4,4
finishing,1,1
finite,1,1
fire,14,3
fired,3,1
fireman,1,1
firing,5,3
firm,7,2
firmly,1,1
first,86,7
fish,1,1
fishing,3,3
fit,6,2
fitting,1,1
five,129,7
fives,2,1
fix,11,1
fixes,1,1
fixing,1,1
flag,1,1
flailing,1,1
flair,1,1
flapped,1,1
flaps,2,1
flat,4,2
flatly,1,1
flaws,1,1
flew,1,1
flight,3,3
flint,1,1
flip,3,2
flipped,5,3
flipping,1,1
flips,1,1
floating,1,1
floor,10,4
floors,1,1
flow,2,1
flown,1,1
fluff,1,1
fluffy,1,1
flunk,1,1
flunked,1,1
fly,6,1
flying,6,5
focus,10,2
focused,2,2
fog,4,2
fogged,1,1
foil,1,1
fold,1,1
folks,3,2
follow,9,5
following,10,10
fondling,1,1
food,15,5
fool,2,2
fooling,1,1
foolish,1,1
foolishly,1,1
foot,7,2
football,10,6
footlocker,1,1
for,659,26
forbid,1,1
force,3,2
forced,1,1
foreclosing,1,1
foreign,14,6
forever,7,1
forfeit,1,1
forged,1,1
forget,11,6
forgetting,1,1
forgone,1,1
forgot,4,4
forgotten,1,1
forklift,2,2
form,1,1
formally,1,1
format,2,1
formative,1,1
former,4,2
forming,1,1
forms,1,1
forrest,3,2
fort,2,1
forth,6,2
forties,1,1
fortification,1,1
fortunate,1,1
fortunately,1,1
fortune,2,1
forty,34,10
forward,5,5
fought,1,1
found,30,9
foundation,2,2
founded,1,1
founder,1,1
fountain,1,1
four,79,10
fourteen,6,3
fourteenth,1,1
fourth,10,3
fox,1,1
fragment,1,1
framework,1,1
franchise,1,1
franchising,2,1
francis,2,2
frank,2,1
franklin,3,3
frankly,1,1
frats,1,1
fraud,1,1
fray,1,1
freak,2,1
freaking,1,1
freaky,1,1
fred,1,1
free,18,3
freedom,8,3
freeway,2,1
freezers,1,1
freight,1,1
french,20,3
freshman,13,8
freshman's,1,1
freshmen,2,2
friday,4,4
fridays,1,1
friend,32,10
friend's,1,1
friendlier,1,1
friends,42,9
frightening,1,1
from,218,21
front,21,5
fruit,2,2
frustrating,3,3
frustration,3,3
frustrations,1,1
fuck,1,1
fucking,1,1
full,19,3
fully,1,1
fumes,2,1
fuming,1,1
fun,29,4
functions,1,1
funded,1,1
funding,3,2
funeral,1,1
funny,17,4
furniture,1,1
further,2,1
future,3,3
g,16,1
gahanna,1,1
gain,3,1
gained,2,2
gainfully,1,1
gamble,1,1
gamblers,1,1
gambling,4,2
game,17,1
games,12,1
gap,1,1
garbage,1,1
garden,3,1
gargling,1,1
garlic,1,1
gas,5,1
gasoline,4,3
gateway,1,1
gave,15,5
gay,15,2
gays,5,1
gear,2,1
geared,3,2
gee,6,1
gender,1,1
genealogy,1,1
general,18,12
generally,11,6
generation,13,10
generations,5,5
generators,1,1
genes,2,1
genetic,3,2
gentleman,4,3
gentleman's,1,1
genuine,1,1
geography,1,1
geometry,3,3
george,4,2
georgia,6,5
german,4,2
germans,4,2
get,457,24
get's,1,1
gets,31,5
getter,1,1
getting,88,23
ghetto,2,2
giant,2,2
giants,1,1
gift,1,1
gifts,3,2
gig,1,1
gigantic,1,1
gigs,1,1
girl,34,7
girl's,1,1
girlfriend,9,5
girlfriends,3,3
girls,30,11
girly,1,1
gist,1,1
gitchy,2,1
give,53,6
given,8,4
gives,5,2
giving,16,9
glad,5,1
glass,3,1
glasses,1,1
glee,1,1
global,2,2
gloss,1,1
glow,3,3
go,509,17
goal,5,2
god,37,7
god's,1,1
godsake,1,1
goer,1,1
goes,72,15
going,187,45
gold,1,1
golden,1,1
gone,26,5
gonna,217,63
goo,1,1
good,178,21
goodies,1,1
goodness,3,3
goodnight,2,2
goody,1,1
goofy,2,1
gore,8,1
gore's,1,1
gorgeous,2,2
gosh,16,4
gospel,1,1
gossip,4,2
got,363,29
gotta,18,3
gotten,16,6
government,17,15
governor,1,1
grab,5,1
grabbed,2,2
grace,1,1
graces,1,1
grade,46,5
grader,4,2
graders,5,4
grades,7,2
grading,2,2
grads,1,1
graduate,5,4
graduated,10,10
graduating,2,2
graduation,1,1
grainery,1,1
grammar,1,1
granary,1,1
grand,1,1
grandchild,2,2
grandchildren,8,6
grandfather,7,5
grandfather's,1,1
grandma,8,7
grandma's,1,1
grandmother,7,3
grandmother's,2,2
grandpa,1,1
grandparent,1,1
grandparent's,1,1
grandparents,2,2
grandparents',1,1
grandson,1,1
grant,1,1
granted,1,1
grape,1,1
grapes,1,1
grass,1,1
great,37,6
greater,4,2
greatest,3,2
green,5,1
greg,2,1
grew,15,5
griffin,1,1
grill,1,1
grilled,2,1
grocery,5,4
ground,5,3
grounded,1,1
grounding,1,1
group,18,3
groupie,1,1
groups,5,2
grow,11,4
growing,11,7
grown,10,2
growth,2,1
guarantee,3,3
guard,1,1
guardian,1,1
guards,1,1
guess,67,7
guessing,2,1
guiding,1,1
guilt,2,1
guilty,4,2
gum,3,2
gump,3,3
gums,1,1
gun,15,1
gung,1,1
guns,17,3
gut,3,2
guy,57,5
guys,35,6
guys',1,1
gymnastics,1,1
h,15,2
ha,2,1
habit,1,1
habitat,1,1
habits,2,1
had,388,32
hadn't,11,8
hadnt,1,1
hafta,66,19
hail,1,1
hair,9,1
half,36,6
hall,6,2
halls,2,2
hallway,1,1
hallways,1,1
ham,3,1
hammer,1,1
hamper,3,2
hand,23,6
handcuffs,2,2
handed,4,3
handful,1,1
handle,6,3
handled,1,1
handles,1,1
hands,9,5
hang,7,3
hanging,3,3
happen,37,12
happened,15,8
happening,5,3
happens,12,6
happenstance,2,2
happier,2,1
happy,7,1
harassment,1,1
harbor,1,1
hard,47,8
hardened,1,1
harder,2,1
hardest,5,3
harding,2,2
hardline,3,1
hardly,5,4
hardware,7,2
harm,2,2
harold,1,1
harriet,2,2
harry,1,1
has,141,18
hasn't,13,12
hasta,4,3
hate,19,4
hated,4,4
hates,2,1
hatfield,1,1
haul,1,1
have,756,50
have've,1,1
haven't,45,31
having,51,22
hawaii,1,1
hayes,2,1
hazard,1,1
hazards,2,2
haze,1,1
hazel,1,1
he,675,17
he'd,18,5
he'll,17,5
he's,214,18
head,13,3
headaches,2,2
headed,2,1
heading,1,1
headphones,3,2
headquarters,1,1
heads,3,3
healed,1,1
healing,2,2
health,5,2
healthcare,1,1
healthy,1,1
hear,26,4
heard,32,7
hearing,6,3
hears,1,1
heart,5,3
heart's,1,1
hearts,2,1
heat,1,1
heating,1,1
heaven,2,2
heavy,7,1
heck,10,2
heidi,1,1
height,1,1
helicopters,1,1
hell,17,5
hell's,2,2
hello,2,1
help,62,5
helped,8,6
helpful,4,3
helping,6,5
helps,5,2
hemisphere,1,1
hemispheres,1,1
henderson,2,1
henry,6,1
her,243,12
her's,1,1
herb,1,1
herbs,3,2
herding,1,1
herds,1,1
here,162,13
here's,13,3
heretic,1,1
heroes,1,1
hers,2,1
herself,7,4
hesitate,2,1
hey,24,6
hi,6,1
hid,1,1
hide,1,1
hieroglyphics,1,1
high,77,2
higher,13,2
highest,3,2
highlights,1,1
highschool,3,3
highway,2,1
hiked,1,1
hikes,1,1
hilarious,2,2
hill,2,1
hilliard,3,1
him,242,16
himself,8,5
hindsight,2,2
hints,1,1
hips,1,1
hire,5,2
hired,5,5
his,174,20
history,5,2
hit,23,4
hitched,1,1
hitler,1,1
hits,1,1
hitting,2,1
hm,18,6
hmm,2,2
ho,1,1
hockey,4,1
hold,6,4
holding,3,3
hole,7,3
holes,3,2
holiday,1,1
holidays,2,2
holland,1,1
hollering,1,1
holy,2,1
home,106,5
homeless,3,1
homes,1,1
homestead,2,1
homesteaded,2,2
homesteaders,1,1
homework,3,1
homosexual,3,3
homosexuals,5,5
hon,2,1
honest,10,9
honestly,5,5
honors,3,3
hood,2,2
hoods,1,1
hook,2,1
hookers,1,1
hoosier,1,1
hop,4,1
hope,21,3
hopefully,6,6
hopes,1,1
hoping,6,4
hormones,2,1
horns,1,1
horrible,9,5
horribly,3,3
horse,4,1
hospital,14,7
hospitality,1,1
hospitals,1,1
hot,6,2
hotel,1,1
hotter,1,1
hounding,1,1
hour,14,5
hours,22,5
house,56,4
housed,1,1
household,1,1
houses,12,5
housewife,1,1
housewifey,1,1
housing,1,1
how,168,13
how'd,2,1
how's,3,1
howdy,1,1
however,3,2
howitzers,1,1
howser,1,1
hug,1,1
huge,7,1
huh,35,6
huh-uh,1,1
hum,45,6
hum-um,2,1
human,10,5
hundred,58,26
hung,6,2
hungary,2,1
hungry,3,1
hunt,1,1
hunter,1,1
hunting,1,1
huntingdon,1,1
hunts,2,1
hurt,10,6
hurting,1,1
hurts,3,3
husband,14,7
husband's,1,1
husbands,2,1
hustle,3,2
hyde,2,1
hymnal,1,1
hype,2,1
hyper,4,1
hyperactive,2,2
hyperness,1,1
hypo,1,1
i,4722,56
i'd,75,19
i'll,79,14
i'm,517,40
i's,5,2
i've,204,24
icing,2,1
idea,13,4
ideal,5,3
idealistic,2,2
ideals,3,2
ideas,6,2
identification,1,1
identify,1,1
idiot,1,1
if,458,30
iffy,1,1
ignore,3,1
iis,1,1
ill,4,1
illegal,1,1
illiterate,1,1
illness,2,2
illusion,1,1
ima,2,1
image,7,5
imagination,2,2
imagine,8,6
imbalance,2,2
immature,1,1
immediate,2,2
immediately,2,2
immense,1,1
immigration,1,1
immune,1,1
impact,3,1
impatient,4,4
impeached,2,2
impeachment,1,1
impediment,1,1
impersonal,1,1
implant,1,1
implanted,1,1
implications,1,1
implying,1,1
importance,1,1
important,23,17
impress,1,1
impression,2,2
impressions,1,1
improve,1,1
improvement,1,1
improvements,1,1
in,1394,61
inability,1,1
inanity,1,1
incapable,1,1
incarnations,1,1
incentives,1,1
inch,2,2
incident,1,1
inclined,1,1
included,1,1
includes,2,2
including,3,3
income,4,3
incomes,2,2
incorrect,1,1
increase,4,4
increased,1,1
increasing,1,1
incredible,3,3
incredibly,4,2
indeed,1,1
independent,4,4
index,2,1
indian,2,2
indiana,4,2
indianola,3,3
indians,3,3
indifferent,1,1
indigenous,1,1
individual,6,6
induced,1,1
industrialized,1,1
industries,1,1
industrious,2,2
industry,2,2
infantry,2,2
influence,17,11
influenced,4,4
influences,3,2
influential,1,1
influx,1,1
infomercials,1,1
information,10,9
informed,1,1
inherit,1,1
inherited,1,1
initial,1,1
initially,1,1
injection,1,1
injured,1,1
injuries,1,1
injury,7,4
inner,4,2
innocent,4,4
input,1,1
ins,1,1
insane,3,1
insanity,2,2
insecure,6,3
inside,8,3
insider,1,1
insight,1,1
inspector,2,2
inspiration,1,1
inspired,2,2
install,2,2
installed,1,1
instead,26,17
instill,1,1
instincts,1,1
institutionalized,2,2
instruction,1,1
instructor,1,1
insulation,1,1
insult,2,2
insurance,6,3
intellect,2,2
intellectual,1,1
intelligence,3,3
intelligent,4,4
intense,1,1
intensely,1,1
intent,1,1
intentional,2,2
inter,1,1
interact,1,1
interactive,2,2
intercom,1,1
interest,2,2
interested,9,9
interesting,24,15
interests,1,1
interference,2,2
interior,1,1
intern,3,1
internet,9,7
interpreted,1,1
interview,4,4
interviewed,2,2
interviewing,2,2
interviews,1,1
into,117,35
introduced,3,3
introduction,2,2
introductory,2,2
introvertal,2,1
invested,1,1
investigator,1,1
investment,1,1
investments,1,1
invincible,1,1
inviting,1,1
involve,1,1
involved,12,10
involvement,1,1
involves,1,1
iowa,6,1
ireland,4,4
ironically,1,1
irresponsible,1,1
irreversible,1,1
irrigation,1,1
irritates,1,1
is,665,25
island,4,2
islands,1,1
isn't,27,15
issue,21,3
issues,20,4
it,1578,80
it'd,13,10
it'll,7,5
it's,849,37
italy,8,5
its,2,2
itself,3,3
ivy,1,1
ixnay,1,1
izod,2,2
j,3,2
jab,1,1
jacket,2,1
jackets,1,1
jackson,3,3
jacob,1,1
jacob's,1,1
jail,3,1
jalena,4,4
jam,1,1
jamaica,1,1
james,1,1
jamilia,1,1
jane,4,2
janelle,2,1
janet,9,6
january,9,6
japan,2,1
jared,1,1
jars,1,1
jason,8,6
jason's,3,3
jasper,1,1
jedd,3,2
jeep,2,2
jefferson,1,1
jeffersons,2,2
jello,5,1
jelly,2,1
jennifer,1,1
jerry,7,2
jersey,5,1
jesse,1,1
jessie,2,1
jesus,3,2
jets,1,1
jewelry,1,1
jigsaw,1,1
joanne,1,1
job,54,7
jobless,1,1
jobs,12,2
jock,1,1
jocks,1,1
joe,2,2
john,11,2
johnnie,1,1
johnnie's,1,1
johnny,2,1
join,1,1
joined,3,1
joke,3,1
jokes,3,1
joking,1,1
jokingly,1,1
joy,1,1
joyce,3,1
jubilee,1,1
judge,5,2
judges,4,1
judgment,1,1
juicy,1,1
julie,2,1
juliet,4,2
july,3,1
jumble,1,1
jump,3,2
jumped,2,2
june,6,1
junior,6,2
junk,3,1
juries,1,1
jurisdiction,1,1
jury,6,3
just,818,73
justice,3,3
justices,2,1
k,4,1
karaoke,1,1
keep,49,4
keeping,3,2
keeps,7,3
kenisha,1,1
kennedy,4,4
kennel,5,2
kent,2,1
kentucky,3,2
kenyon,1,1
kept,15,2
kernel,1,1
key,4,1
kick,2,1
kicked,3,2
kicking,1,1
kid,70,6
kid's,5,2
kidding,4,3
kids,216,10
kids',2,1
kids'll,1,1
kilbourne,1,1
kill,5,2
killed,8,2
killer,1,1
killing,4,3
kills,1,1
kind,165,26
kinda,12,6
kindergarten,11,6
kindergarteners,2,2
kindness,2,2
kinds,7,5
king,2,1
kirkwood,2,1
kiss,1,1
kitchen,4,4
kitchens,1,1
knee,4,1
knees,2,1
knew,24,2
knife,1,1
knitting,1,1
knives,1,1
knob,1,1
knock,1,1
knocked,2,1
knocking,2,2
know,503,20
knowing,14,8
knowledge,7,3
known,9,1
knows,12,5
kroger's,1,1
l,10,2
la,3,2
lab,1,1
label,1,1
labeled,1,1
labeling,1,1
labor,5,1
laborers,1,1
lack,5,1
lacking,1,1
ladder,1,1
ladies,5,3
lady,7,3
lag,1,1
lagged,1,1
laid,5,2
lake,2,1
lakes,1,1
lamaze,4,2
lamb,1,1
land,18,8
landed,1,1
landing,1,1
landlord,1,1
lane,1,1
language,17,3
languages,3,3
lard,1,1
large,5,1
larger,2,1
largest,3,3
larry,2,1
lash,1,1
lashuka,1,1
lassie,2,1
lassie's,1,1
last,46,5
lasted,2,1
lasts,1,1
latchkey,1,1
late,5,3
lately,1,1
later,21,5
latter,1,1
laugh,2,1
laughing,5,2
law,26,1
lawn,1,1
laws,7,1
lawsuit,5,1
lawsuits,2,1
lawyer,2,1
lawyers,4,1
lay,2,1
laying,1,1
laymen,2,1
layovers,1,1
lazarus,4,4
lazenby,1,1
lazy,7,1
lead,2,1
leader,1,1
leaders,3,2
leadership,1,1
leading,2,2
league,3,2
leaking,1,1
leaning,1,1
learn,30,4
learned,19,6
learner,1,1
learning,25,9
learns,1,1
learnt,1,1
lease,3,1
least,18,3
leave,16,1
leaves,5,2
leaving,4,3
lecture,1,1
led,2,1
left,31,5
leg,1,1
legal,12,4
legitimate,1,1
legitimately,2,2
legs,1,1
lemon,2,1
lemonjello,2,1
lesbian,1,1
lesbians,2,2
less,14,1
lesson,1,1
lessons,1,1
let,53,10
let's,23,6
lethal,1,1
lets,15,6
letter,6,2
letters,1,1
letting,5,3
level,16,5
levels,4,4
leveque,1,1
levies,2,1
levy,15,2
liar,1,1
libbing,1,1
liberal,7,4
liberals,1,1
librarian,1,1
libraries,1,1
library,8,6
license,4,2
licking,2,1
lid,1,1
lie,4,2
lieutenant,4,4
life,77,3
lifelong,4,1
lifespan,1,1
lifetime,3,1
lifts,1,1
light,2,2
lighting,1,1
lightly,1,1
lightning,3,2
lights,8,2
like,1131,43
liked,13,3
likely,3,1
likes,12,3
liking,2,2
limit,2,2
limitation,1,1
limitations,2,2
limited,5,5
limits,3,3
linda,1,1
line,19,5
lined,2,2
lines,8,3
lint,1,1
linux,2,2
lipstick,2,1
list,24,5
listen,11,5
listened,1,1
listening,10,6
listing,3,1
lists,1,1
literate,1,1
literature,2,2
litmus,2,2
little,165,31
live,71,6
lived,39,5
lives,20,6
living,33,13
loaded,2,2
loan,2,1
local,2,2
locate,1,1
located,1,1
locates,1,1
location,2,1
lock,2,1
locked,1,1
locker,8,1
lockers,1,1
logic,2,1
logical,2,1
london,2,2
long,64,5
longer,5,3
look,87,10
looked,12,6
looking,32,14
looks,24,6
loop,1,1
loops,1,1
lord,1,1
lose,5,4
loses,1,1
loss,1,1
lost,16,2
lot,214,14
lots,11,2
lottery,7,4
lou,1,1
loud,8,4
louis,5,3
love,53,3
loved,8,4
loves,5,4
loving,4,1
low,4,1
lower,7,2
luck,1,1
lucky,7,1
lunch,14,2
lunches,2,1
luxuries,1,1
luxury,2,2
m,14,4
ma'am,6,2
mac,1,1
macaroni,1,1
machine,7,4
machinery,3,2
machines,1,1
macho,1,1
macintosh,1,1
macintosh'll,1,1
mackenzie,1,1
mad,9,2
made,46,8
magazine,3,3
magazines,6,3
maggots,1,1
magic,3,2
magnetism,1,1
mail,3,3
mailed,1,1
main,12,2
mainly,10,2
mainstay,1,1
mainstream,1,1
maintenance,1,1
major,11,2
majoring,1,1
majority,7,7
make,127,7
makers,1,1
makes,28,2
making,25,7
malarkey,1,1
male,3,1
mall,13,3
mall's,1,1
malls,2,1
man,75,15
man's,2,2
managed,2,2
management,1,1
manager,1,1
mandy,1,1
manipulate,3,3
manipulating,2,2
manipulatives,1,1
manmade,1,1
manner,2,2
manners,2,2
mansfield,19,15
mansfield's,1,1
manufacturer,2,2
manufacturing,1,1
manwich,2,2
many,67,15
map,2,1
march,7,2
marched,1,1
marching,2,1
margin,2,2
mark,3,1
marked,3,3
market,4,4
marketing,6,6
marriage,5,2
married,31,7
marries,1,1
marry,3,1
martha,2,1
martha'll,1,1
mary,2,1
mary'd,1,1
mary's,1,1
maryland,1,1
mashed,1,1
masks,1,1
mass,5,1
massage,1,1
massive,1,1
masters,9,6
mat,1,1
match,1,1
material,2,2
math,16,2
mathematical,1,1
mathematically,1,1
mathematics,3,2
matriarchy,1,1
matrimony,1,1
matter,24,7
matters,4,2
matthew,3,2
mature,2,2
matured,1,1
maturity,1,1
mauldin,1,1
maverick,1,1
may,20,2
maybe,122,13
mayor,4,1
mcdonald's,4,4
mcgovern,2,2
mcguffey,1,1
me,417,20
meal,1,1
mean,431,30
meaning,4,3
meaningless,1,1
means,16,3
meant,5,4
meantime,1,1
meanwhile,1,1
meat,2,2
mechanical,1,1
medal,1,1
medals,1,1
media,9,5
medication,5,4
medications,1,1
medicine,3,3
medics,1,1
mediocre,1,1
meditating,1,1
mediterranean,1,1
meds,1,1
meet,6,3
meeting,5,3
meetings,2,2
meets,1,1
meg,1,1
megan,3,3
meijer,9,3
melted,1,1
member,3,2
members,3,2
memo,1,1
memories,3,2
men,29,7
men's,1,1
mental,5,3
mentality,1,1
mentally,2,2
mention,3,3
mentioned,4,3
mentor,1,1
menu,1,1
merrily,1,1
mess,5,1
messed,2,1
messing,2,2
met,17,6
metal,3,3
metaphysics,1,1
methodical,1,1
metro,1,1
mexican,2,2
mexicans,1,1
mice,1,1
michelle,1,1
micron,2,1
microsoft,7,6
microwave,4,2
middle,45,15
midnight,1,1
midterm,1,1
might,56,14
might've,2,2
mike,3,2
mile,7,6
miles,16,8
military,5,3
milk,7,2
milked,1,1
millennium,1,1
million,14,13
millionaire,2,2
millionaires,1,1
millions,3,3
mind,25,4
minded,1,1
mindless,1,1
minds,4,3
mindset,2,2
mine,15,3
mine's,1,1
mini,2,1
miniature,2,1
minimize,1,1
minimum,4,3
miniscule,1,1
minister,1,1
minor,2,2
minority,5,5
minute,10,9
minutes,17,12
miraculous,1,1
mirror,6,4
miscellaneous,3,3
miserable,2,2
miss,7,1
missed,5,3
misses,2,1
missing,1,1
missouri,2,2
misspells,1,1
mist,1,1
mistake,6,2
mistakes,2,2
mister,5,3
mitzvah,1,1
mixed,2,1
mixture,2,1
mm,11,2
mm-hmm,15,4
mmm,1,1
moaning,1,1
mobilize,1,1
mobilized,1,1
mock,2,1
models,1,1
moderate,5,5
moderated,4,4
moderates,2,2
moderating,1,1
modify,2,1
molesting,1,1
mom,79,8
mom's,7,3
moment,2,2
mommy,10,3
moms,5,1
monday,10,3
monetarily,2,2
monetary,1,1
money,110,15
money's,2,1
mongers,1,1
monitor,1,1
monkey,1,1
montana,1,1
montgomery's,2,2
month,10,1
monthly,1,1
months,31,5
moral,4,1
morally,2,2
morals,2,2
more,186,14
morning,25,15
mornings,1,1
morons,1,1
morse,2,1
moss,1,1
most,96,9
mostly,12,5
mother,42,4
mother's,2,2
mothers,1,1
motivated,3,3
motivation,1,1
motivational,1,1
mount,1,1
mountain,5,3
mountains,2,1
mouth,4,2
move,30,4
moved,37,8
movement,3,3
movements,1,1
movers,1,1
moves,2,2
movie,11,4
movies,5,2
moving,18,8
mowing,2,2
mrs,1,1
much,167,8
muchos,1,1
muggings,1,1
multi,1,1
multimillion,1,1
multiple,1,1
multiply,1,1
munich,1,1
murder,7,2
murdered,2,1
murderers,1,1
murders,5,3
murker,2,1
music,14,6
musically,1,1
musicians,1,1
mussolini,1,1
must,16,3
mustiness,1,1
mutual,2,2
my,779,26
myrtle,1,1
myself,34,9
n,11,3
n's,1,1
nah,2,1
name,51,3
named,9,2
names,15,3
nap,1,1
naples,2,2
nasty,3,2
nation,3,3
national,6,4
nationwide,1,1
native,1,1
natural,4,4
nature,9,3
naval,2,2
navy,1,1
nazareth,2,2
near,8,4
nearest,2,2
nearing,1,1
nearly,3,1
neat,8,3
neater,1,1
necessarily,14,9
necessary,1,1
necessities,2,1
necessity,2,1
neck,3,1
necklace,3,3
need,91,10
needed,12,7
needle,1,1
needles,2,1
needless,2,2
needs,11,3
negative,8,3
negatives,4,3
neglected,1,1
neglecting,3,3
negligence,1,1
negotiated,1,1
neighbor,7,3
neighborhood,11,7
neighborhoods,1,1
neighbors,6,1
neither,3,3
nephew,1,1
nephew's,1,1
nerve,1,1
nervous,1,1
netherlands,1,1
netstock,3,2
network,2,1
neurologist,1,1
neurosurgeon,1,1
nevada,1,1
never,105,16
new,47,6
newer,1,1
news,10,2
newscast,1,1
newspaper,1,1
newspapers,1,1
next,31,4
niagara,1,1
nice,50,6
nicely,2,1
nickel,1,1
niece,3,1
nifty,1,1
night,41,8
nights,9,1
nighttime,1,1
nike,1,1
nine,34,5
nine's,1,1
nineteen,22,5
nineties,4,4
ninety,31,9
ninja,1,1
nintendo,1,1
ninth,7,2
no,287,13
nobody,18,11
nobody's,6,3
noise,6,4
noisy,1,1
nominate,2,1
nomination,4,2
nominee,1,1
non,2,1
nonchalantly,1,1
none,9,4
nonflammable,1,1
noon,2,2
nope,4,1
norm,1,1
normal,14,6
normally,7,5
north,34,5
northeast,1,1
northern,1,1
northland,14,7
northland's,1,1
nose,2,2
not,543,37
notch,2,1
notches,1,1
note,1,1
notebook,1,1
notebooks,3,3
notes,5,1
nothing,41,14
notice,7,3
noticed,6,5
notices,1,1
noun,1,1
november,3,1
now,256,14
nowadays,6,3
nowhere,2,1
nullified,1,1
nullify,1,1
number,21,4
numbers,13,3
nurse,5,1
nursery,1,1
nurses,1,1
nursing,1,1
nuts,5,1
o,34,4
o'clock,21,5
o'hare,1,1
o'neil,1,1
o's,1,1
oasis,1,1
objective,1,1
objectives,3,2
obligation,1,1
obnoxious,1,1
obscenely,1,1
observation,4,4
observations,1,1
observe,1,1
observer,2,2
obviously,8,7
occasion,1,1
occasionally,1,1
occur,2,1
occurred,3,3
ocean,2,2
october,2,2
october's,1,1
odd,3,2
of,1584,62
off,119,6
offense,1,1
offensive,1,1
offer,2,2
offered,1,1
offering,1,1
office,17,2
officers,2,1
offices,1,1
offspring,1,1
often,12,8
ogre,2,1
oh,294,19
ohio,45,15
ohio's,1,1
oil,1,1
ok,1,1
okay,98,22
oklahoma,5,3
old,73,11
older,41,11
oldest,26,17
olentangy,3,2
olive,3,1
olympic,1,1
omelet,3,2
on,580,43
once,54,11
one,486,29
one's,5,3
ones,25,4
oneself,1,1
only,69,18
onto,3,3
oops,2,1
open,22,8
opened,3,2
opening,5,5
openings,1,1
opens,1,1
opera,2,2
operate,1,1
operating,7,4
operations,2,2
opinion,20,13
opinions,10,7
opportunities,1,1
opportunity,3,3
opposed,8,2
opposite,7,6
opposition,1,1
oprah,2,2
oprah's,1,1
optimism,1,1
options,3,2
or,633,25
orange,4,4
orangello,2,1
order,8,6
ordered,1,1
ordinance,2,2
ordinances,1,1
ordinary,1,1
oregon,10,3
organ,1,1
organic,2,2
organization,2,2
organized,1,1
organizing,1,1
orientation,5,4
oriented,2,2
original,5,5
originally,4,4
orrin,3,3
other,188,15
other's,1,1
others,5,1
otherwise,3,3
otterbein,1,1
ought,4,2
oughta,1,1
ounce,1,1
our,111,9
ours,5,2
ourselves,4,3
out,521,26
outer,2,2
outfit,2,1
outfits,1,1
outlandish,1,1
outline,2,2
outlook,1,1
outpatient,1,1
outrageous,1,1
outside,12,7
outspoken,1,1
outstanding,1,1
oval,1,1
oven,2,1
over,168,26
overall,1,1
overcome,1,1
overdosed,2,2
overdosing,2,2
overflowed,1,1
overhead,2,1
overnight,3,3
overpowering,1,1
overpriced,1,1
overrule,1,1
overs,1,1
overseas,4,4
overt,1,1
overtly,1,1
overweight,1,1
overwhelmed,1,1
owed,1,1
owensboro,1,1
owes,1,1
own,43,6
owned,2,2
owning,1,1
owns,2,2
p,18,1
p's,1,1
pace,1,1
pack,3,1
package,1,1
packers,1,1
packing,1,1
paddle,1,1
paddled,1,1
page,4,1
pager,1,1
pages,2,2
paid,16,2
pain,12,2
painted,2,2
painting,3,2
pair,2,1
palm,1,1
palsy,1,1
pamper,1,1
pancake,1,1
pancakes,1,1
panel,2,2
panic,1,1
pansy,1,1
pants,5,2
paper,22,4
paper's,1,1
papers,8,3
paragraph,5,1
paragraph's,1,1
paragraphs,2,1
parakeet,3,3
paralegal,1,1
parameters,2,2
pardon,3,3
parent,11,9
parent's,1,1
parenting,4,3
parents,39,17
parents',1,1
paris,1,1
park,9,1
park's,1,1
parked,2,2
parking,2,2
parsley,1,1
part,56,10
partake,1,1
partem,1,1
participate,6,6
participated,1,1
particular,6,5
particularly,5,5
partied,1,1
parties,1,1
partition,2,2
partitioned,1,1
partitioning,1,1
partly,1,1
partner,2,2
parts,3,2
party,14,4
partying,2,1
